name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"Josh Allen";"BUF";"QB";30.1;6170;"4984";"13589";10280;1;1;98
"Ja'Marr Chase";"CIN";"WR";26.3;5856;"7564";"15281";10001;2;1;163
"Bijan Robinson";"ATL";"RB";24.4;9833;"9509";"16161";9979;3;1;-439
"Jahmyr Gibbs";"DET";"RB";24.3;9821;"9221";"16162";9817;4;2;27
"Jaxon Smith-Njigba";"SEA";"WR";24.4;9924;"9488";"16185";9051;5;2;-152
"Drake Maye";"NE";"QB";23.8;11696;"11564";"16580";8738;6;2;-91
"Puka Nacua";"LAR";"WR";25.1;9822;"9493";"16211";8607;7;3;18
"Brock Bowers";"LV";"TE";23.5;11702;"11604";"16641";7933;8;1;310
"Amon-Ra St. Brown";"DET";"WR";26.7;1527;"7547";"15287";7308;9;4;37
"Caleb Williams";"CHI";"QB";24.6;11708;"11560";"16579";7225;10;3;112
"Jayden Daniels";"WAS";"QB";25.5;11701;"11566";"16581";7159;11;4;75
"Lamar Jackson";"BAL";"QB";29.5;3101;"4881";"13593";7104;12;5;-94
"Ashton Jeanty";"LV";"RB";22.6;12612;"12527";"17042";7090;13;3;137
"Justin Jefferson";"MIN";"WR";27;7569;"6794";"14836";6919;14;5;-101
"Joe Burrow";"CIN";"QB";29.6;1002;"6770";"14777";6836;15;6;29
"2026 Pick 1.01";"null";"PICK";"null";16523;"DP_0_0";"DP_0_0";6787;16;1;-109
"Trey McBride";"ARI";"TE";26.6;7325;"8130";"15794";6746;16;2;-122
"Jeremiyah Love";"ARI";"RB";21.1;13485;"13287";"17472";6658;17;4;15
"Malik Nabers";"NYG";"WR";22.9;11737;"11632";"16615";6537;18;6;-400
"CeeDee Lamb";"DAL";"WR";27.2;4835;"6786";"14832";6506;19;7;163
"Justin Herbert";"LAC";"QB";28.3;8448;"6797";"14779";5980;20;7;277
"Omarion Hampton";"LAC";"RB";23.3;12573;"12507";"17044";5975;21;5;320
"Drake London";"ATL";"WR";24.9;998;"8112";"15751";5863;22;8;-51
"De'Von Achane";"MIA";"RB";24.7;9969;"9226";"16167";5809;23;6;-122
"Patrick Mahomes";"KC";"QB";30.8;880;"4046";"13116";5791;24;8;164
"Jalen Hurts";"PHI";"QB";27.9;6407;"6904";"14783";5479;25;9;-196
"Jaxson Dart";"NYG";"QB";23.1;12609;"12508";"17032";5382;26;10;-84
"Jonathan Taylor";"IND";"RB";27.4;3046;"6813";"14802";5350;27;7;-14
"Colston Loveland";"CHI";"TE";22.2;12578;"12517";"17104";5106;28;3;-130
"Trevor Lawrence";"JAX";"QB";26.7;1086;"7523";"15237";5100;29;11;-47
"James Cook";"BUF";"RB";26.8;182;"8138";"15715";5014;30;8;69
"Tetairoa McMillan";"CAR";"WR";23.2;12635;"12526";"17071";4977;31;9;-78
"Bo Nix";"DEN";"QB";26.3;11728;"11563";"16582";4723;32;12;-333
"Tyler Warren";"IND";"TE";24.1;12592;"12518";"17102";4561;33;4;-55
"George Pickens";"DAL";"WR";25.3;1436;"8137";"15762";4496;34;10;-47
"2026 Pick 1.02";"null";"PICK";"null";16524;"DP_0_1";"DP_0_1";4448;35;2;-102
"Brock Purdy";"SF";"QB";26.5;5570;"8183";"15698";4401;35;13;-186
"Carnell Tate";"TEN";"WR";21.4;13483;"13279";"17497";4309;36;11;-74
"Emeka Egbuka";"TB";"WR";23.7;12595;"12514";"17081";4243;37;12;-245
"Nico Collins";"HOU";"WR";27.3;5030;"7569";"15290";4181;38;13;-112
"2026 Pick 1.03";"null";"PICK";"null";16525;"DP_0_2";"DP_0_2";4105;39;3;-61
"Dak Prescott";"DAL";"QB";32.9;6637;"3294";"12620";4105;39;14;-69
"Christian McCaffrey";"SF";"RB";30.1;5494;"4034";"13130";4084;40;9;-86
"Fernando Mendoza";"LV";"QB";22.7;13497;"13269";"17462";4065;41;15;-106
"Jordan Love";"GB";"QB";27.7;3651;"6804";"14782";4055;42;16;74
"Garrett Wilson";"NYJ";"WR";25.9;6813;"8146";"15753";4052;43;14;-121
"Quinshon Judkins";"CLE";"RB";22.7;12632;"12512";"17051";4049;44;10;174
"Kenneth Walker";"KC";"RB";25.7;1749;"8151";"15711";3986;45;11;-189
"Saquon Barkley";"PHI";"RB";29.4;7257;"4866";"13604";3964;46;12;299
"Ladd McConkey";"LAC";"WR";24.6;11766;"11635";"16627";3927;47;15;37
"Breece Hall";"NYJ";"RB";25.1;4576;"8155";"15708";3904;48;13;-147
"TreVeyon Henderson";"NE";"RB";23.7;12580;"12529";"17043";3894;49;14;241
"Chase Brown";"CIN";"RB";26.3;9967;"9224";"16181";3836;50;15;81
"Cam Ward";"TEN";"QB";24.1;12603;"12522";"17030";3816;51;17;-250
"Chris Olave";"NO";"WR";26;2548;"8144";"15754";3806;52;16;-89
"A.J. Brown";"NE";"WR";29;4118;"5859";"14104";3762;53;17;-208
"2026 Pick 1.04";"null";"PICK";"null";16526;"DP_0_3";"DP_0_3";3738;54;4;-101
"Rashee Rice";"KC";"WR";26.2;9929;"10229";"16194";3581;54;18;132
"2026 Pick 1.05";"null";"PICK";"null";16527;"DP_0_4";"DP_0_4";3545;55;5;-67
"Kyren Williams";"LAR";"RB";25.8;7315;"8150";"15710";3540;55;16;133
"Jordyn Tyson";"NO";"WR";21.9;13498;"13281";"17498";3528;56;19;-233
"Luther Burden";"CHI";"WR";22.6;12590;"12519";"17070";3525;57;20;-109
"DeVonta Smith";"PHI";"WR";27.6;6635;"7525";"15282";3468;58;21;-6
"C.J. Stroud";"HOU";"QB";24.7;9838;"9758";"16150";3467;59;18;47
"Zay Flowers";"BAL";"WR";25.8;9930;"9997";"16190";3433;60;22;-87
"Jared Goff";"DET";"QB";31.7;8587;"3163";"12611";3432;61;19;295
"Rome Odunze";"CHI";"WR";24.1;11763;"11620";"16616";3415;62;23;-207
"Tucker Kraft";"GB";"TE";25.7;9824;"9484";"16222";3412;63;5;62
"Marvin Harrison Jr";"ARI";"WR";23.9;11734;"11628";"16614";3398;64;24;-13
"Cam Skattebo";"NYG";"RB";24.4;12643;"12481";"17045";3321;65;17;123
"Tee Higgins";"CIN";"WR";27.5;5531;"6801";"14835";3315;66;25;27
"2026 Pick 1.06";"null";"PICK";"null";16528;"DP_0_5";"DP_0_5";3308;67;6;-48
"Makai Lemon";"PHI";"WR";22.1;13550;"13294";"17499";3308;67;26;-264
"Jadarian Price";"SEA";"RB";22.7;13467;"13286";"17473";3288;68;18;-141
"Brian Thomas";"JAX";"WR";23.7;11726;"11631";"16618";3288;69;27;51
"Jaylen Waddle";"DEN";"WR";27.6;1409;"7526";"15284";3221;70;28;169
"Harold Fannin";"CLE";"TE";21.9;12659;"12506";"17103";3195;71;6;-136
"Tyler Shough";"NO";"QB";26.8;12686;"12545";"17039";3186;72;20;-166
"Bucky Irving";"TB";"RB";23.9;11779;"11584";"16598";3134;73;19;-74
"2026 1st";"null";"PICK";"null";9662;"FP_2026_1";"FP_2026_1";3121;74;7;-71
"Baker Mayfield";"TB";"QB";31.2;2737;"4892";"13590";3029;74;21;-297
"Javonte Williams";"DAL";"RB";26.2;6963;"7588";"15256";2998;75;20;-75
"Derrick Henry";"BAL";"RB";32.5;5421;"3198";"12626";2968;76;21;272
"2026 Pick 1.07";"null";"PICK";"null";16529;"DP_0_6";"DP_0_6";2934;77;8;-93
"Sam LaPorta";"DET";"TE";25.5;9843;"10859";"16214";2892;77;7;-120
"2027 1st";"null";"PICK";"null";9692;"FP_2027_1";"FP_2027_1";2884;78;9;-113
"Kyler Murray";"MIN";"QB";28.9;3544;"5849";"14056";2877;78;22;8
"Kyle Pitts";"ATL";"TE";25.7;280;"7553";"15329";2871;79;8;-95
"Jameson Williams";"DET";"WR";25.3;1100;"8148";"15756";2839;80;29;-109
"Travis Etienne";"NO";"RB";27.4;3156;"7543";"15253";2825;81;22;54
"Sam Darnold";"SEA";"QB";29.1;8007;"4943";"13592";2811;82;23;-165
"KC Concepcion";"CLE";"WR";21.8;13544;"13298";"17501";2810;83;30;-84
"Kenyon Sadiq";"NYJ";"TE";21.3;13446;"13330";"17543";2730;84;9;-84
"2026 Pick 1.08";"null";"PICK";"null";16530;"DP_0_7";"DP_0_7";2729;85;10;-53
"Josh Jacobs";"GB";"RB";28.4;1326;"5850";"14073";2726;85;23;27
"2026 Pick 1.09";"null";"PICK";"null";16531;"DP_0_8";"DP_0_8";2689;86;11;-34
"Bryce Young";"CAR";"QB";24.9;9944;"9228";"16148";2682;86;24;-56
"Matthew Stafford";"LAR";"QB";38.4;3611;"421";"9431";2590;87;25;-110
"2026 Pick 1.10";"null";"PICK";"null";16532;"DP_0_9";"DP_0_9";2530;88;12;-30
"Malik Willis";"MIA";"QB";27.1;6888;"8161";"15694";2448;88;26;-150
"Ty Simpson";"LAR";"QB";23.5;13495;"13275";"17463";2406;89;27;-128
"Daniel Jones";"IND";"QB";29.1;5;"5870";"14059";2392;90;28;-179
"2026 Pick 1.11";"null";"PICK";"null";16533;"DP_0_10";"DP_0_10";2389;91;13;-26
"Bhayshul Tuten";"JAX";"RB";23.4;12620;"12490";"17052";2350;91;24;95
"Omar Cooper";"NYJ";"WR";22.5;13500;"13276";"17502";2339;92;31;-88
"Eli Stowers";"PHI";"TE";23.2;13445;"13349";"17544";2293;93;10;-61
"2026 Pick 1.12";"null";"PICK";"null";16534;"DP_0_11";"DP_0_11";2263;94;14;-23
"David Montgomery";"HOU";"RB";29.1;7515;"5892";"14071";2251;94;25;182
"Alec Pierce";"IND";"WR";26.2;5433;"8142";"15768";2234;95;32;96
"Denzel Boston";"CLE";"WR";22.6;13521;"13346";"17500";2178;96;33;-90
"2026 Pick 2.01";"null";"PICK";"null";16553;"DP_1_0";"DP_1_0";2149;97;15;-21
"D'Andre Swift";"CHI";"RB";27.5;1574;"6790";"14797";2146;97;26;23
"2028 1st";"null";"PICK";"null";9722;"FP_2028_1";"FP_2028_1";2129;98;16;-47
"Christian Watson";"GB";"WR";27.1;5981;"8167";"15789";2112;98;34;-35
"Jordan Addison";"MIN";"WR";24.4;9847;"9756";"16186";2100;99;35;-198
"Parker Washington";"JAX";"WR";24.3;9894;"9487";"16192";2099;100;36;-61
"Mike Evans";"SF";"WR";32.9;7495;"2216";"11671";2078;101;37;159
"DJ Moore";"BUF";"WR";29.2;6110;"4983";"13635";2064;102;38;-248
"2026 Pick 2.02";"null";"PICK";"null";16554;"DP_1_1";"DP_1_1";2047;103;17;-18
"Terry McLaurin";"WAS";"WR";30.8;4864;"5927";"14109";2042;103;39;-70
"George Kittle";"SF";"TE";32.7;5709;"4217";"13299";2016;104;11;-54
"Oronde Gadsden";"LAC";"TE";23;12576;"12493";"17099";1999;105;12;-20
"Matthew Golden";"GB";"WR";22.9;12672;"12501";"17075";1989;106;40;-50
"Jake Ferguson";"DAL";"TE";27.5;6785;"8110";"15799";1987;107;13;82
"Travis Hunter";"JAX";"WR";23.1;12617;"12530";"17074";1981;108;41;-60
"Jonah Coleman";"DEN";"RB";22.9;13522;"13345";"17477";1964;109;27;-130
"2026 Pick 2.03";"null";"PICK";"null";16555;"DP_1_2";"DP_1_2";1953;110;18;-17
"Davante Adams";"LAR";"WR";33.5;1503;"2133";"11675";1952;110;42;-179
"Michael Wilson";"ARI";"WR";26.4;9952;"10232";"16206";1947;111;43;-43
"2029 1st";"null";"PICK";"null";9752;"FP_2029_1";"FP_2029_1";1930;112;19;-95
"Quentin Johnston";"LAC";"WR";24.8;9879;"9754";"16188";1929;112;44;127
"Isaiah Likely";"NYG";"TE";26.2;7402;"8131";"15798";1919;113;14;-63
