name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"Jeremiyah Love";"ARI";"RB";21.1;13485;"13287";"17472";6662;1;1;51
"Carnell Tate";"TEN";"WR";21.4;13483;"13279";"17497";4327;2;1;-55
"Fernando Mendoza";"LV";"QB";22.7;13497;"13269";"17462";4006;3;1;-207
"Jordyn Tyson";"NO";"WR";21.9;13498;"13281";"17498";3509;4;2;-183
"Makai Lemon";"PHI";"WR";22.1;13550;"13294";"17499";3269;5;3;-213
"Jadarian Price";"SEA";"RB";22.7;13467;"13286";"17473";3267;6;2;-177
"KC Concepcion";"CLE";"WR";21.8;13544;"13298";"17501";2787;7;4;-89
"Kenyon Sadiq";"NYJ";"TE";21.3;13446;"13330";"17543";2731;8;1;-46
"Ty Simpson";"LAR";"QB";23.5;13495;"13275";"17463";2392;9;2;14
"Omar Cooper";"NYJ";"WR";22.5;13500;"13276";"17502";2309;10;5;-138
"Eli Stowers";"PHI";"TE";23.2;13445;"13349";"17544";2293;11;2;-65
"Denzel Boston";"CLE";"WR";22.6;13521;"13346";"17500";2164;12;6;-56
"Jonah Coleman";"DEN";"RB";22.9;13522;"13345";"17477";1961;13;3;-43
"Nicholas Singleton";"TEN";"RB";22.5;13515;"13288";"17476";1790;14;4;-64
"Antonio Williams";"WAS";"WR";22;13422;"13301";"17512";1768;15;7;-27
"Germie Bernard";"PIT";"WR";22.6;13516;"13274";"17503";1706;16;8;-31
"Chris Bell";"MIA";"WR";22.1;13453;"13311";"17506";1534;17;9;-37
"De'Zhaun Stribling";"SF";"WR";23.5;13586;"13417";"17514";1483;18;10;-58
"Zachariah Branch";"ATL";"WR";22.3;13496;"13320";"17507";1455;19;11;0
"Elijah Sarratt";"BAL";"WR";23.1;13435;"13268";"17505";1410;20;12;71
"Emmett Johnson";"KC";"RB";22.7;13503;"13337";"17474";1367;21;5;-26
"Malachi Fields";"NYG";"WR";22.8;13475;"13285";"17511";1367;22;13;-91
"Ted Hurst";"TB";"WR";22;13536;"13317";"17520";1217;23;14;-218
"Carson Beck";"ARI";"QB";23.6;13448;"13272";"17466";1209;24;3;-21
"Chris Brazzell";"CAR";"WR";22.8;13464;"13353";"17509";1177;25;15;71
"Mike Washington";"LV";"RB";23;13517;"13305";"17482";1169;26;6;-23
"Skyler Bell";"BUF";"WR";24;13559;"13402";"17508";1143;27;16;146
"Kaytron Allen";"WAS";"RB";23.5;13556;"13405";"17478";1140;28;7;-66
"Demond Claiborne";"MIN";"RB";22.7;13437;"13347";"17481";1046;29;8;-79
"Eli Raridon";"NE";"TE";22.4;13565;"13421";"17607";1014;30;3;19
"Oscar Delp";"NO";"TE";22.9;13530;"13319";"17567";983;31;4;-6
"Kaelon Black";"SF";"RB";24.7;13592;"13414";"17485";982;32;9;-84
"Ja'Kobi Lane";"BAL";"WR";22.2;13523;"13293";"17517";939;33;17;-97
"Drew Allar";"PIT";"QB";22.3;13538;"13289";"17468";927;34;4;-28
"Max Klare";"LAR";"TE";23;13527;"13278";"17547";919;35;5;-57
"Cade Klubnik";"NYJ";"QB";22.7;13499;"13303";"17467";841;36;5;60
"Justin Joly";"DEN";"TE";22;13552;"13400";"17548";832;37;6;3
"Zavion Thomas";"CHI";"WR";22.4;13612;"13411";"17521";748;38;18;51
"Adam Randall";"BAL";"RB";22;13417;"13302";"17652";723;39;10;-99
"Caleb Douglas";"MIA";"WR";22.8;13451;"13296";"17599";688;40;19;48
"Bryce Lance";"NO";"WR";23.9;13604;"13420";"17519";621;41;20;0
"Cyrus Allen";"KC";"WR";23.4;13605;"13413";"17518";567;42;21;26
"Eli Heidenreich";"PIT";"RB";23;13581;"13423";"17685";523;43;11;-91
"Seth McGowan";"IND";"RB";24.7;13582;"13424";"17475";497;44;12;39
"Kevin Coleman";"MIA";"WR";22.8;13539;"13338";"17528";496;45;22;64
"Taylen Green";"CLE";"QB";23.7;13535;"13306";"17657";492;46;6;28
"Brenen Thompson";"LAC";"WR";22.9;13431;"13380";"17529";466;47;23;47
"Matt Hibner";"BAL";"TE";24.3;13542;"13324";"UNK";441;48;7;-131
"Tanner Koziol";"JAX";"TE";22.4;13614;"13408";"17644";373;49;8;78
"Malik Benson";"LV";"WR";23.7;13533;"13329";"17706";363;50;24;82
"Garrett Nussmeier";"KC";"QB";24.4;13558;"13404";"17465";358;51;7;-4
"J'Mari Taylor";"JAX";"RB";24.3;13511;"13348";"17487";317;52;13;130
"Michael Trigg";"DAL";"TE";24;13554;"13401";"17546";299;53;9;36
"Jeff Caldwell";"KC";"WR";23.3;13476;"13392";"17523";270;54;25;69
"Jack Endries";"CIN";"TE";22.3;13428;"13282";"17545";269;55;10;-23
"Deion Burks";"IND";"WR";23.5;13547;"13333";"17510";265;56;26;-27
"Marlin Klein";"HOU";"TE";23.8;13462;"13307";"17593";255;57;11;-28
"Colbie Young";"CIN";"WR";23.9;13771;"13477";"17542";253;58;27;117
"Will Kacmarek";"MIA";"TE";23.4;13620;"13434";"17605";249;59;12;-21
"Cole Payton";"PHI";"QB";23.7;13457;"13335";"17654";213;60;8;129
"Sam Roush";"CHI";"TE";22.8;13540;"13322";"17549";187;61;13;16
"John Michael Gyllenborg";"KC";"TE";23.9;13440;"13342";"17710";178;62;14;58
"CJ Daniels";"LAR";"WR";24.5;13426;"13270";"17504";136;63;28;-72
"Roman Hemby";"LV";"RB";23.9;13590;"13416";"17483";133;64;14;78
"Jam Miller";"NE";"RB";"null";13555;"13403";"17486";8;65;15;-79
